cocktail_id,cocktail_name,num_ingredients,ingredients,alcoholic,acidic,caffiene,category,glass,price
15092,Pysch Vitamin Light,4,"Orange juice, Apple juice, Pineapple juice, Ice",False,False,False,Ordinary Drink,Collins Glass,10.01
12910,Egg Nog #4,11,"Egg yolk, Sugar, Milk, Light rum, Bourbon, Vanilla extract, Salt, Whipping cream, Egg white, Sugar, Nutmeg",False,False,False,Punch / Party Drink,Punch bowl,14.95
11288,Cuba Libre,3,"Light rum, Lime, Coca-Cola",True,True,False,Ordinary Drink,Highball glass,10.88
11000,Mojito,5,"Light rum, Lime, Sugar, Mint, Soda water",True,True,False,Cocktail,Highball glass,12.87
17266,Oatmeal Cookie,5,"Kahlua, Baileys irish cream, Butterscotch schnapps, Jagermeister, Goldschlager",True,False,False,Cocktail,Mason jar,16.26
178311,Broadside,5,"151 proof rum, Scotch, Bitters, Wormwood, Ice",True,False,False,Cocktail,Highball glass,13.7
13395,Bob Marley,3,"Midori melon liqueur, Jägermeister, Goldschlager",True,False,False,Shot,Shot glass,12.09
17186,Clover Club,4,"Gin, Grenadine, Lemon, Egg white",True,True,False,Ordinary Drink,Cocktail glass,11.53
14608,Cream Soda,2,"Spiced rum, Ginger ale",True,False,False,Cocktail,Highball glass,10.42
12738,Hot Chocolate to Die for,5,"Chocolate, Butter, Vanilla extract, Half-and-half, Marshmallows",False,False,False,Cocoa,Coffee mug,11.02
15691,Zoksel,7,"Beer, Root beer, Lemonade, Coca-Cola, 7-Up, Creme de Cassis, Lemon",True,True,False,Soft Drink,Beer pilsner,14.42
12442,Vermouth Cassis,3,"Dry Vermouth, Creme de Cassis, Carbonated water",True,False,False,Ordinary Drink,Highball glass,11.64
13068,Brave Bull Shooter,2,"Tequila, Tabasco sauce",True,False,False,Shot,Shot glass,11.83
11728,Martini,3,"Gin, Dry Vermouth, Olive",True,False,False,Cocktail,Cocktail glass,12.63
17079,Baby Guinness,2,"Kahlua, Baileys irish cream",True,False,False,Shot,Shot glass,13.59
17211,Dark and Stormy,2,"Dark Rum, Ginger Beer",True,False,False,Ordinary Drink,Highball glass,11.5
17189,Monkey Gland,4,"Gin, Benedictine, Orange juice, Grenadine",True,False,False,Ordinary Drink,Cocktail glass,15.03
13837,Kir Royale,2,"Creme de Cassis, Champagne",True,False,False,Ordinary Drink,Champagne Flute,11.02
14610,ACID,2,"151 proof rum, Wild Turkey",True,False,False,Shot,Shot glass,11.58
14598,50/50,3,"Vanilla vodka, Grand Marnier, Orange juice",True,False,False,Ordinary Drink,Collins Glass,13.28
11326,Dubonnet Cocktail,4,"Dubonnet Rouge, Gin, Bitters, Lemon peel",True,False,False,Ordinary Drink,Cocktail glass,12.87
17248,French Negroni,4,"Gin, Lillet, Sweet Vermouth, Orange Peel",True,False,False,Cocktail,Martini Glass,13.04
11013,Alaska Cocktail,4,"Orange bitters, Gin, Yellow Chartreuse, Lemon peel",True,False,False,Ordinary Drink,Cocktail glass,13.21
11102,Black Russian,2,"Coffee liqueur, Vodka",True,False,False,Ordinary Drink,Old-fashioned glass,11.03
15178,Texas Rattlesnake,4,"Yukon Jack, Cherry brandy, Southern Comfort, Sweet and sour",True,False,False,Shot,Highball glass,13.44
15849,Apricot punch,5,"Apricot brandy, Champagne, Vodka, 7-Up, Orange juice",True,False,False,Punch / Party Drink,Punch bowl,13.04
14372,Absolut limousine,4,"Absolut Citron, Lime juice, Ice, Tonic water",True,False,False,Other / Unknown,Collins Glass,11.91
11028,Amaretto Stinger,2,"Amaretto, White Creme de Menthe",True,False,False,Ordinary Drink,Cocktail glass,14.5
15330,Orange Crush,3,"Vodka, Triple sec, Orange juice",True,False,False,Shot,Shot glass,12.7
12762,Grizzly Bear,4,"Amaretto, Jägermeister, Kahlua, Milk",True,False,False,Ordinary Drink,Collins Glass,19.1
12450,Victor,3,"Gin, Sweet Vermouth, Brandy",True,False,False,Ordinary Drink,Cocktail glass,11.82
15224,Malibu Twister,3,"Malibu rum, Tropicana, Cranberry juice",True,False,False,Cocktail,Highball glass,10.98
12708,Banana Cantaloupe Smoothie,2,"Cantaloupe, Banana",False,False,False,Other / Unknown,Highball Glass,7.42
17181,Dirty Martini,5,"Vodka, Dry Vermouth, Olive Brine, Lemon, Olive",True,True,False,Cocktail,Cocktail glass,14.08
15409,Danbooka,2,"Coffee, Everclear",True,False,True,Coffee / Tea,Coffee Mug,11.66
11007,Margarita,4,"Tequila, Triple sec, Lime juice, Salt",True,False,False,Ordinary Drink,Cocktail glass,12.7
12089,Rum Old-fashioned,6,"Light rum, 151 proof rum, Powdered sugar, Bitters, Water, Lime peel",True,False,False,Ordinary Drink,Old-fashioned glass,14.2
11965,Port Wine Flip,5,"Port, Light cream, Powdered sugar, Egg, Nutmeg",True,False,False,Ordinary Drink,Whiskey sour glass,13.5
17249,Pegu Club,5,"Gin, Orange Curacao, Lime Juice, Angostura Bitters, Orange Bitters",True,False,False,Cocktail,Cocktail glass,14.09
11566,Jewel Of The Nile,3,"Gin, Green Chartreuse, Yellow Chartreuse",True,False,False,Ordinary Drink,Cocktail glass,13.86
11408,Gin Daisy,6,"Gin, Lemon juice, Sugar, Grenadine, Maraschino cherry, Orange",True,True,False,Ordinary Drink,Old-fashioned glass,13.74
15024,Absolutely Cranberry Smash,4,"Absolut Vodka, Cranberry juice, Ginger ale, Ice",True,False,False,Ordinary Drink,Cocktail glass,12.78
12690,Lassi - A South Indian Drink,5,"Yoghurt, Water, Cumin seed, Salt, Mint",False,False,False,Other / Unknown,Highball Glass,11.19
17176,Ipamena,5,"Lime, Brown sugar, Passion fruit juice, Ginger ale, Ice",False,True,False,Ordinary Drink,Wine Glass,10.2
11420,Gin Toddy,4,"Gin, Water, Powdered sugar, Lemon peel",True,False,False,Ordinary Drink,Old-fashioned glass,13.11
17135,Citrus Coke,2,"Bacardi Limon, Coca-Cola",True,False,False,Soft Drink,Highball Glass,11.74
14209,Mocha-Berry,4,"Coffee, Chambord raspberry liqueur, Cocoa powder, Whipped cream",True,False,True,Coffee / Tea,Irish coffee cup,13.09
14594,Zizi Coin-coin,4,"Cointreau, Lemon juice, Ice, Lemon",True,True,False,Punch / Party Drink,Margarita/Coupette glass,15.49
14053,Mother's Milk,3,"Goldschlager, Butterscotch schnapps, Milk",True,False,False,Shot,Shot glass,10.97
17185,Casino,5,"Gin, Maraschino liqueur, Lemon juice, Orange bitters, Cherry",True,False,False,Ordinary Drink,Cocktail glass,12.26
13192,National Aquarium,6,"Rum, Vodka, Gin, Blue Curacao, Sour mix, Lemon-lime soda",True,False,False,Ordinary Drink,Collins Glass,13.33
11121,Bobby Burns Cocktail,4,"Sweet Vermouth, Scotch, Benedictine, Lemon peel",True,False,False,Ordinary Drink,Cocktail glass,15.9
15288,252,2,"151 proof rum, Wild Turkey",True,False,False,Shot,Shot glass,10.11
12798,Coffee Liqueur,5,"Coffee, Vanilla extract, Sugar, Vodka, Water",True,False,True,Homemade Liqueur,Collins Glass,13.55
16295,Bleeding Surgeon,4,"Dark rum, Orange, Surge, Cranberry juice",True,True,False,Soft Drink,Collins glass,12.67
16958,Apple Pie with A Crust,3,"Apple juice, Malibu rum, Cinnamon",True,False,False,Other / Unknown,Collins Glass,10.99
12856,Tia-Maria,5,"Water, Brown sugar, Coffee, Rum, Vanilla extract",True,False,True,Homemade Liqueur,Collins Glass,13.62
12916,Egg Nog - Healthy,7,"Egg, Sugar, Condensed milk, Milk, Vanilla extract, Rum, Nutmeg",False,False,False,Punch / Party Drink,Collins Glass,11.12
11020,Algonquin,3,"Blended whiskey, Dry Vermouth, Pineapple juice",True,False,False,Ordinary Drink,Cocktail glass,12.03
178359,Kiwi Martini,4,"Kiwi, Sugar Syrup, Vodka, Kiwi",True,False,False,Cocktail,Cocktail glass,12.06
178320,Banana Cream Pi,3,"Malibu Rum, Banana Liqueur, Pineapple Juice",True,False,False,Cocktail,Wine Glass,11.98
12186,Shanghai Cocktail,4,"Light rum, Anisette, Grenadine, Lemon",True,True,False,Ordinary Drink,Cocktail glass,12.74
16991,Downshift,4,"Fruit punch, Sprite, Tequila, 151 proof rum",True,False,False,Punch / Party Drink,Hurricane glass,13.44
17230,Gin Rickey,5,"Gin, Grenadine, lemon, Soda Water, Lime",True,True,False,Cocktail,Highball glass,12.33
17193,Stinger,2,"Brandy, White Creme de Menthe",True,False,False,Ordinary Drink,Cocktail glass,10.22
12460,Vodka And Tonic,2,"Vodka, Tonic water",True,False,False,Ordinary Drink,Highball glass,10.27
17141,Smut,4,"Red wine, Peach schnapps, Pepsi Cola, Orange juice",True,False,False,Punch / Party Drink,Beer mug,12.97
11324,Dry Rob Roy,3,"Scotch, Dry Vermouth, Lemon peel",True,False,False,Ordinary Drink,Cocktail glass,11.51
16951,Kioki Coffee,3,"Kahlua, Brandy, Coffee",True,False,True,Coffee / Tea,Coffee mug,14.96
13377,Sea breeze,3,"Vodka, Cranberry juice, Grapefruit juice",True,False,False,Ordinary Drink,Highball glass,11.6
11961,Port And Starboard,2,"Grenadine, Green Creme de Menthe",True,False,False,Ordinary Drink,Pousse cafe glass,11.27
16419,Avalanche,3,"Crown Royal, Kahlua, Cream",True,False,False,Shake,Highball glass,13.55
15300,3-Mile Long Island Iced Tea,9,"Gin, Light rum, Tequila, Triple sec, Vodka, Coca-Cola, Sweet and sour, Bitters, Lemon",True,True,False,Ordinary Drink,Collins Glass,16.92
12764,Karsk,2,"Coffee, Grain alcohol",True,False,True,Ordinary Drink,Highball glass,11.39
14602,Tequila Surprise,2,"Tequila, Tabasco sauce",True,False,False,Shot,Shot glass,11.95
17177,Dark Caipirinha,3,"demerara Sugar, Lime, Cachaca",True,True,False,Cocktail,Highball glass,11.23
17094,Alice in Wonderland,3,"Amaretto, Grand Marnier, Southern Comfort",True,False,False,Ordinary Drink,Collins Glass,17.74
17114,Ruby Tuesday,3,"Gin, Cranberry juice, Grenadine",True,False,False,Cocktail,Highball glass,12.38
178329,Captain Kidd's Punch,6,"Rum, Lime Juice, Egg White, Bitters, Sugar, Nutmeg",True,False,False,Cocktail,Collins glass,13.92
17225,Ace,5,"Gin, Grenadine, Heavy cream, Milk, Egg White",True,False,False,Cocktail,Martini Glass,12.82
11046,Applecar,3,"Applejack, Triple sec, Lemon juice",True,False,False,Ordinary Drink,Cocktail glass,10.87
