cocktail_id,cocktail_name,num_ingredients,ingredients,alcoholic,sugary_score,acidic,caffiene,category,glass,instructions,image_url,price
12854,Scottish Highland Liqueur,5,"Johnnie Walker, Honey, Angelica root, Fennel seeds, Lemon peel",True,1,False,False,Homemade Liqueur,Collins Glass,"Combine all ingreds in aging container. Cover tightly and shake gently several times during the first 24 hrs. After 24 hrs, remove the lemon zest. Cover again and let stand in a cool, dark place for 2 weeks, shaking gently every other day. Strain through a wire sieve to remove the angelica root and fennel. Return to aging container, cover and let stand undisturbed in a cool dark place for 6 months. Siphon or pour clear liqueur into a sterile bottle. The cloudy dregs may be saved for cooking.",https://www.thecocktaildb.com/images/media/drink/upqvvp1441253441.jpg,12.62
16134,Absolutly Screwed Up,4,"Absolut Citron, Orange juice, Triple sec, Ginger ale",True,2,True,False,Cocktail,Collins glass,"Shake it up it tasts better that way, but you can stir it if you want. 6 of those and you will be wasted for the rest of the night.",https://www.thecocktaildb.com/images/media/drink/yvxrwv1472669728.jpg,13.34
13825,Midnight Manx,5,"Kahlua, Baileys irish cream, Goldschlager, Heavy cream, Coffee",True,2,False,True,Ordinary Drink,Old-fashioned glass,"Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!",https://www.thecocktaildb.com/images/media/drink/uqqurp1441208231.jpg,17.27
13024,Sweet Sangria,8,"Red wine, Sugar, Water, Apple, Orange, Lime, Lemon, Fresca",True,1,True,False,Punch / Party Drink,Pitcher,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw.",https://www.thecocktaildb.com/images/media/drink/uqqvsp1468924228.jpg,16.17
178345,Hot Toddy,5,"Whiskey, Honey, Cinnamon, lemon, Cloves",True,1,True,False,Cocktail,Irish coffee cup,"STEP 1
Whisk the whisky and honey together and split between 2 heatproof glasses. Add half of the cinnamon stick to each, then top up with 200ml boiling water.

STEP 2
Add a splash of lemon juice to each, then taste and add more to your preference. Finish each with a slice of lemon, studded with a clove, and serve immediately.",https://www.thecocktaildb.com/images/media/drink/ggx0lv1613942306.jpg,13.14
17829,Penicillin,5,"Blended Scotch, Lemon Juice, Honey syrup, Ginger Syrup, Islay single malt Scotch",True,0,True,False,Cocktail,Old-fashioned glass,"Shake blended Scotch, lemon juice, honey syrup and ginger syrup with ice. Strain over large ice in chilled rocks glass. Float smoky Scotch on top (be sure to use a smoky Scotch such as an Islay single malt). Garnish with candied ginger.",https://www.thecocktaildb.com/images/media/drink/hc9b1a1521853096.jpg,12.82
11720,Martinez Cocktail,5,"Gin, Dry Vermouth, Triple sec, Orange bitters, Cherry",True,1,False,False,Cocktail,Cocktail glass,Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.,https://www.thecocktaildb.com/images/media/drink/wwxwvr1439906452.jpg,14.23
11872,Orgasm,5,"Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream",True,2,False,False,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/vr6kle1504886114.jpg,16.3
12726,Tomato Tang,3,"Tomato juice, Lemon juice, Celery salt",False,0,True,False,Other / Unknown,Highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/869qr81487603278.jpg,8.79
12732,Chocolate Beverage,4,"Milk, Chocolate, Cinnamon, Egg",False,0,False,False,Cocoa,Coffee mug,"Boil milk in the top of a deep double boiler five minutes. Remove from fire and add chocolate, mixed with the cinnamon, a little at a time, beating with molinillo or egg beater after each addition. When the chocolate is thoroughly blended, heat to the boiling point. Place over bottom of double boiler and add eggs, whipping constantly, until they are thoroughly blended and the mixture is frothing. Serve in coffee mug. Serves eight.",https://www.thecocktaildb.com/images/media/drink/jbqrhv1487603186.jpg,9.7
