cocktail_id,cocktail_name,num_ingredients,ingredients,alcoholic,sugary_score,acidic,caffiene,category,glass,price
14107,Absolut Summertime,5,"Absolut Citron, Sweet and sour, Sprite, Soda water, Lemon",True,1,True,False,Cocktail,Collins glass,13.65
178367,Ramos Gin Fizz,7,"Gin, Lemon Juice, Sugar Syrup, Cream, Egg White, Vanilla extract, Soda Water",True,2,False,False,Cocktail,Highball glass,14.55
17246,Empellón Cocina's Fat-Washed Mezcal,3,"Mezcal, Chocolate liqueur, Coffee liqueur",True,1,False,False,Cocktail,Beer Glass,11.52
14956,Jello shots,3,"Vodka, Jello, Water",True,1,False,False,Shot,Shot glass,12.52
16951,Kioki Coffee,3,"Kahlua, Brandy, Coffee",True,2,False,True,Coffee / Tea,Coffee mug,15.89
14209,Mocha-Berry,4,"Coffee, Chambord raspberry liqueur, Cocoa powder, Whipped cream",True,2,False,True,Coffee / Tea,Irish coffee cup,13.02
17827,Old Pal,3,"Rye whiskey, Campari, Dry Vermouth",True,1,False,False,Cocktail,Nick and Nora Glass,14.19
12562,Alice Cocktail,4,"Grenadine, Orange juice, Pineapple juice, Cream",False,3,False,False,Cocktail,Cocktail glass,8.76
15825,Jamaican Coffee,4,"Rum, Coffee, Water, Whipped cream",True,0,False,True,Coffee / Tea,Champagne flute,12.74
17220,Butter Baby,4,"Vanilla Ice-Cream, Butterscotch schnapps, Milk, Vodka",True,3,False,False,Shake,Beer mug,12.69
12460,Vodka And Tonic,2,"Vodka, Tonic water",True,2,False,False,Ordinary Drink,Highball glass,10.25
17252,Greyhound,2,"Vodka, Grapefruit Juice",True,2,False,False,Cocktail,Collins glass,10.55
11009,Moscow Mule,3,"Vodka, Lime juice, Ginger ale",True,2,False,False,Punch / Party Drink,Copper Mug,12.17
11146,Bourbon Sling,5,"Sugar, Water, Lemon juice, Bourbon, Lemon peel",True,1,False,False,Ordinary Drink,Highball glass,12.55
12716,Mango Orange Smoothie,2,"Mango, Orange",False,0,True,False,Other / Unknown,Highball Glass,8.38
17838,Adonis Cocktail,3,"Sweet Vermouth, Sherry, Orange bitters",True,2,False,False,Ordinary Drink,Cocktail glass,11.53
11021,Allegheny,5,"Dry Vermouth, Bourbon, Blackberry brandy, Lemon juice, Lemon peel",True,1,False,False,Ordinary Drink,Cocktail glass,13.2
11005,Dry Martini,3,"Gin, Dry Vermouth, Olive",True,1,False,False,Cocktail,Cocktail glass,10.77
16958,Apple Pie with A Crust,3,"Apple juice, Malibu rum, Cinnamon",True,0,False,False,Other / Unknown,Collins Glass,11.49
14181,Cafe Savoy,4,"Coffee, Milk, Triple sec, Brandy",True,1,False,True,Coffee / Tea,Coffee mug,12.21
16250,Rum Runner,5,"Malibu rum, Blackberry brandy, Orange juice, Pineapple juice, Cranberry juice",True,3,False,False,Punch / Party Drink,Cocktail glass,13.75
12760,Surf City Lifesaver,4,"Ouzo, Baileys irish cream, Gin, Grand Marnier",True,2,False,False,Ordinary Drink,Highball glass,15.29
15106,Apello,4,"Orange juice, Grapefruit juice, Apple juice, Maraschino cherry",False,1,False,False,Other / Unknown,Collins Glass,10.04
12754,Sex on the Beach,4,"Vodka, Peach schnapps, Cranberry juice, Orange juice",True,4,False,False,Ordinary Drink,Highball glass,11.71
14642,Grim Reaper,3,"Kahlua, 151 proof rum, Grenadine",True,2,False,False,Ordinary Drink,Old-fashioned glass,15.48
11542,Jack Rose Cocktail,3,"Apple brandy, Grenadine, Lime",True,1,True,False,Ordinary Drink,Cocktail glass,10.94
17200,Grasshopper,3,"Green Creme de Menthe, Creme de Cacao, Light cream",True,0,False,False,Ordinary Drink,Cocktail glass,12.23
12188,Sherry Eggnog,5,"Sherry, Powdered sugar, Egg, Milk, Nutmeg",True,2,False,False,Ordinary Drink,Collins glass,13.89
11664,Lone Tree Cocktail,2,"Sweet Vermouth, Gin",True,1,False,False,Ordinary Drink,Cocktail glass,10.39
12738,Hot Chocolate to Die for,5,"Chocolate, Butter, Vanilla extract, Half-and-half, Marshmallows",False,0,False,False,Cocoa,Coffee mug,9.92
12668,Egg Cream,3,"Chocolate syrup, Milk, Soda water",False,1,False,False,Other / Unknown,Coffee mug,9.39
11251,City Slicker,3,"Brandy, Triple sec, Lemon juice",True,1,False,False,Ordinary Drink,Cocktail glass,11.87
178307,Tequila Slammer,2,"Tequila, 7-up",True,0,False,False,Shot,Hurricane glass,11.62
14456,Kurant Tea,3,"Absolut Kurant, Tea, Sugar",True,1,False,False,Coffee / Tea,Champagne flute,12.38
178306,Slippery Nipple,2,"Sambuca, Irish cream",True,0,False,False,Shot,Shot glass,10.24
12138,Scotch Cobbler,5,"Scotch, Brandy, Curacao, Orange, Mint",True,1,True,False,Ordinary Drink,Old-fashioned glass,12.56
12067,Rum Cobbler,6,"Sugar, Club soda, Lemon, Dark rum, Maraschino cherry, Orange",True,1,True,False,Ordinary Drink,Old-fashioned glass,14.29
16134,Absolutly Screwed Up,4,"Absolut Citron, Orange juice, Triple sec, Ginger ale",True,2,False,False,Cocktail,Collins glass,13.48
178339,The Strange Weaver,7,"Light Rum, Gin, Sweet Vermouth, Campari, Lemon Juice, Orgeat Syrup, Orange Peel",True,1,False,False,Cocktail,Collins glass,17.19
11872,Orgasm,5,"Creme de Cacao, Amaretto, Triple sec, Vodka, Light cream",True,2,False,False,Ordinary Drink,Cocktail glass,17.03
11423,Godfather,2,"Scotch, Amaretto",True,1,False,False,Ordinary Drink,Old-fashioned glass,14.37
17218,Vesper,3,"Gin, Vodka, Lillet Blanc",True,1,False,False,Cocktail,Cocktail glass,11.64
17247,The Last Word,4,"Green Chartreuse, Maraschino Liqueur, Lime Juice, Gin",True,0,False,False,Cocktail,Cocktail glass,14.98
